,name,latitude,longitude,vicinity,Clothing,Food,Household Goods,Housing,Training and other services,Notes,website
0,412 Food Rescue,40.462826,-79.92193739999999,"6140 Station St, Pittsburgh",,1.0,,,,,http://www.412foodrescue.org/
1,5480 Black St,40.4694647,-79.93004789999999,"Black St #5480, Pittsburgh",,1.0,,,,,https://www.jamesstsensory.org/
2,A Childs Wardrobe and adults too!,40.4322063,-79.9232648,"2200 Murray Ave, Pittsburgh",1.0,,,,,,
3,A Giving Heart,40.4199218,-79.99291219999999,"816 Climax St, Pittsburgh",,,,1.0,,,http://www.agivingheart.org/
4,A-Line Staffing Solutions,40.4286737,-79.8113226,"201 Penn Center Blvd Suite 306, Pittsburgh",,,,,1.0,,https://www.alinestaffing.com/
5,ABC Staffing LLC,40.4383265,-79.99907689999999,"One Oxford Centre, 301 Grant St Suite 270, Pittsburgh",,,,,1.0,,https://www.abcstaffingpgh.com/
6,ACT 1 Personnel Services,40.4287384,-80.12365319999999,"2 Penn Center Blvd # 225, Pittsburgh",,,,,1.0,,https://www.act-1.com/
7,ADAPT Career Coaching,40.424521,-79.92942409999999,"4122 Windsor St, Pittsburgh",,,,,1.0,,http://www.adaptcareercoach.com/
8,Abiding Missions,40.422965,-79.99463,"731 Excelsior St, Pittsburgh",,,,1.0,,,http://abidingmissions.org/
9,Academy Pittsburgh,40.42167329999999,-79.9940954,"744 E Warrington Ave, Pittsburgh",,,,,1.0,,http://academypgh.com/
10,Accessibility Matters,40.42415740000001,-79.94867359999999,"49 Bigelow St, Pittsburgh",,,,,1.0,,
11,Action Housing Inc,40.441444,-79.996498,"611 William Penn Pl #800, Pittsburgh",,,,1.0,,,http://www.actionhousing.org/
12,Aerotek,40.4279305,-79.81128230000002,"400 Penn Center Blvd Suite 211, Pittsburgh",,,,,1.0,,https://www.aerotek.com/en/locations/united-states/pennsylvania/pittsburgh-east?ecid=ls_aero_mozbizlist_160802_123614
13,Aerotek,40.431076,-80.12655629999999,"8 Penn Center Blvd Suite 101, Pittsburgh",,,,,1.0,,https://www.aerotek.com/en/locations/united-states/pennsylvania/pittsburgh?ecid=ls_aero_mozbizlist_160802_123613
14,African Healing Garden,40.4637597,-79.9130181,Pittsburgh,,1.0,,,,,https://www.africanhealinggarden.org/
15,Aldama's Closet,40.4978303,-80.0535446,"481 Dawson Ave, Pittsburgh",1.0,,,,,,
16,Allegheny Abused Animal Relief Fund,40.4424701,-80.0009554,"625 Liberty Ave, Pittsburgh",,,,1.0,,,
17,Allegheny Commons Community Gardens,40.450938,-80.0021118,"300 Stockton Ave, Pittsburgh",,1.0,,,,,https://www.ioby.org/project/allegheny-commons-community-garden
18,Allegheny County Assistance Office - Greater Pittsburgh East,40.4618572,-79.9252604,"5947 Penn Ave, Pittsburgh",,1.0,,,,,http://www.dhs.pa.gov/
19,Allegheny County Assistance Office - Three Rivers District,40.4397934,-79.9997585,"342 Fifth Ave, Pittsburgh",,1.0,,,,,http://www.dhs.pa.gov/
20,Allegheny County Assistance Office Liberty District,40.4401692,-79.99947089999999,"332 Fifth Ave #300, Pittsburgh",,1.0,,,,,http://www.dhs.pa.gov/
21,"Allegheny County Children, Youth and Families: North Regional Office",40.4552688,-80.01822659999999,"901 Pennsylvania Ave, Pittsburgh",,1.0,,,,,http://alleghenycounty.us/Human-Services/Programs-Services/Children-Families/Child-Protection.aspx
22,Allegheny County Human Services,40.4389085,-80.00123599999999,"304 Wood St, Pittsburgh",,1.0,,,,,https://www.alleghenycounty.us/human-services/index.aspx
23,Allendale Acres Community Garden,40.4554151,-80.0607557,Pittsburgh,,1.0,,,,,http://pittsburghurbangardens.com/allendale-acres-community-garden
24,Ammon Community Recreation Center,40.4486657,-79.9779648,"2217 Bedford Ave, Pittsburgh",,,,,1.0,,http://pittsburghpa.gov/citiparks/ammon
25,Amvets,40.429784,-80.0537772,"2226 Noblestown Rd, Pittsburgh",1.0,,,,,,https://amvets.org/
26,Anderson Shelter,40.4354818,-79.947908,Pittsburgh,,,,1.0,,,http://www.pittsburghparks.org/schenley
27,Animal Advocates,40.440583,-80.034447,"35 Wabash St, Pittsburgh",,,,1.0,,,http://animaladvocates.net/
28,Animal Friends,40.5218665,-80.0796451,"562 Camp Horne Rd, Pittsburgh",,,,1.0,,,http://www.thinkingoutsidethecage.org/
29,Animal Full Life Rescue,40.4369019,-79.88370689999999,"906 Ramsey St, Pittsburgh",,,,1.0,,,https://www.aflr.org/contact-us
30,AppleOne Employment Services,40.4287384,-80.12365319999999,"2 Penn Center Blvd #210, Pittsburgh",,,,,1.0,,http://www.appleone.com/
31,Arbor Career Center,40.4414408,-79.99667389999999,"425 Sixth Ave #2000, Pittsburgh",,,,,1.0,,
32,Auberle 412 Youth Zone,40.4389815,-80.0014103,"304 Wood St, Pittsburgh",,,,1.0,,,https://www.auberle.org/the-412-youth-zone
33,BGC Activity Center,40.465224,-79.940089,"113 N Pacific Ave, Pittsburgh",,,,,1.0,,https://bloomfield-garfield.org/other-projects/activity-center/
34,Ballfield Farm,40.4690014,-80.0165495,"Crispen St, Pittsburgh",,1.0,,,,,http://www.ballfieldfarm.com/
35,Bandi Schaum Community Garden,40.4227835,-79.975396,Pittsburgh,,1.0,,,,,
36,Bartlett Shelter,40.4334705,-79.93591719999999,"Bartlett St, Pittsburgh",,,,1.0,,,
37,Baum Grove,40.4589723,-79.93533359999999,"400 Roup Ave, Pittsburgh",,1.0,,,,,https://www.friendship-pgh.org/
38,Bay Foods distribution center,40.4420518,-80.0213624,"1600 W Carson St, Pittsburgh",,1.0,,,,,
39,Bedford Hope Center,40.4496577,-79.9754452,"2305 Bedford Ave, Pittsburgh",,,,,1.0,,http://www.justharvest.org/venue/bedford-hope-center/
40,"Belcan, LLC",40.4160741,-80.0453941,"1016 Greentree Rd Suite 200, Pittsburgh",,,,,1.0,,https://belcan.com/
41,Beltzhoover Community Center 407,40.4181161,-80.0051192,"407 Gearing Ave, Pittsburgh",,,,,1.0,,
42,Bethlehem Haven,40.4384625,-79.99149059999999,"905 Watson St, Pittsburgh",,,,1.0,,,https://www.bethlehemhaven.org/
43,Bethlehem Haven,40.43849,-79.98595499999999,"1410 Fifth Ave, Pittsburgh",,,,1.0,,,https://bethlehemhaven.org/
44,Bethlehem Haven - Food Distribution Center,40.43865419999999,-79.9907791,Pittsburgh,,1.0,,,,,http://www.bethlehemhaven.org/
45,Bethlehem Haven Medical Respite,40.4386459,-79.9914316,"905 Watson St, Pittsburgh",,,,1.0,,,https://bethlehemhaven.org/housing-programs/
46,Better Living Community Center - Food Distribution Center,40.4444421,-79.8843899,"105 Wood St, Pittsburgh",,1.0,,,,,
47,Bidwell Training Center,40.45709919999999,-80.0319344,"1815 Metropolitan St, Pittsburgh",,,,,1.0,,https://www.bidwelltraining.edu/
48,Birthright of Pittsburgh Inc,40.4495245,-79.9501241,"160 N Craig St STE 209, Pittsburgh",,,,1.0,,,http://birthrightpittsburgh.org/
49,Blair-Lippincott Library,40.4417882,-79.95970710000002,"200 Lothrop St, Pittsburgh",,,,,1.0,,
50,Bloomcraft,40.4556599,-79.9529802,"460 Melwood Ave, Pittsburgh",,,,,1.0,,
51,Bloomfield Garfield Corporation Youth Development Center,40.4648326,-79.9377797,"5321 Penn Ave, Pittsburgh",,,,,1.0,,http://bloomfield-garfield.org/
52,Boilmaker Apprenticeship School,40.4174169,-80.0296965,"1231 Banksville Rd, Pittsburgh",,,,,1.0,,
53,Borland Garden,40.4672336,-79.9238719,"5806 Black St, Pittsburgh",,1.0,,,,,https://www.growpittsburgh.org/directory/garden/borland-green-cooperative-2
54,Braddock Hills Department of Public Works,40.4241002,-79.8686649,"2794 Columbia Ave, Pittsburgh",,,,,1.0,,
55,Brashear Association Inc,40.4139063,-79.9885224,"320 Brownsville Rd, Pittsburgh",,1.0,,,,,https://www.brashearassociation.org/
56,Brashear Association Inc Neighborhood Employment Center,40.4216183,-79.99454879999999,"730 E Warrington Ave #1565, Pittsburgh",,,,,1.0,,http://www.brashearassociation.org/
57,"Brashear Association, Inc - Food Distribution Center",40.4192698,-79.9753614,"2201 Salisbury St, Pittsburgh",,1.0,,,,,https://www.brashearassociation.org/
58,Brentwood Library,40.3750746,-79.9749076,"3501 Brownsville Rd, Pittsburgh",,,,,1.0,,http://www.brentwoodlibrarychanginglives.org/
59,Bridge Outreach,40.4626973,-79.9907325,"1526 Rhine St, Pittsburgh",,,,1.0,,,http://bridgepgh.org/
60,Brighton Heights Garden,40.4751722,-80.0375944,"1601 Antrim St, Pittsburgh",,1.0,,,,,https://www.growpittsburgh.org/directory/garden/riverview-community-garden-of-brighton-heights
61,Brookline Community Center,40.3912355,-80.0083815,"1400 Brookline Blvd, Pittsburgh",,,,,1.0,,
62,Buffalo Exchange,40.428591,-79.985722,"1214 E Carson St #1a, Pittsburgh",1.0,,,,,,https://www.buffaloexchange.com/locations/pittsburgh/pittsburgh/
63,Buhl Library of Social Work,40.4426031,-79.9541564,Pittsburgh,,,,,1.0,,
64,Burlington,40.4416433,-79.9977976,"339 Sixth Ave, Pittsburgh",1.0,,,,,,https://www.burlington.com/store-details/pittsburgh-pa-191?utm_source=google&utm_medium=organic&utm_campaign=maps
65,C.C. Mellor Memorial Library,40.4322898,-79.88521589999999,"1 Pennwood Ave #2, Pittsburgh",,,,,1.0,,http://www.ccmellorlibrary.org/
66,CCAC Allegheny Campus Library,40.4497266,-80.0132981,"Ridge Ave, Pittsburgh",,,,,1.0,,http://www.ccac.edu/library
67,CHALFANT COMMUNITY CENTER,40.4084692,-79.84050669999999,"218 North Ave, East Pittsburgh",,,,,1.0,,
68,CHS,40.454241,-79.97815,"2525 Liberty Ave, Pittsburgh",,,,1.0,,,
69,CHS Food Pantry,40.4336242,-79.961441,"370 Lawn St, Pittsburgh",,1.0,,,,,
70,CHS Wood Street Commons,40.4389431,-80.00143489999999,"301 Third Avenue, Pittsburgh",,,,1.0,,,https://chscorp.org/service-area/program/shelter-program-wood-street-commons
71,CMU Career and Professional Development Center (CPDC),40.4427215,-79.941043,"5000 Forbes Ave, Pittsburgh",,,,,1.0,,https://www.cmu.edu/career/
72,Career & Workforce Development,40.4565449,-79.898268,"7140 Bennett St, Pittsburgh",,,,,1.0,,
73,Career Services Unlimited,40.4695358,-79.91825399999999,"816 Sheridan Ave, Pittsburgh",,,,,1.0,,
74,Carlow University - Grace Library,40.4391233,-79.96333709999999,"3333 Fifth Ave, Pittsburgh",,,,,1.0,,https://www.carlow.edu/grace-library/
75,Carnegie Free Library of Swissvale,40.42255309999999,-79.8911655,"1800 Monongahela Ave, Pittsburgh",,,,,1.0,,http://www.swissvalelibrary.org/
76,Carnegie Library of Pittsburgh - Allegheny,40.4563575,-80.0065961,"1230 Federal St, Pittsburgh",,,,,1.0,,http://carnegielibrary.org/
77,Carnegie Library of Pittsburgh - Beechview,40.4070437,-80.0277222,"1910 Broadway Ave, Pittsburgh",,,,,1.0,,https://carnegielibrary.org/
78,Carnegie Library of Pittsburgh - Carrick,40.397019,-79.98754699999999,"1811 Brownsville Rd, Pittsburgh",,,,,1.0,,https://carnegielibrary.org/
79,Carnegie Library of Pittsburgh - Downtown,40.4417769,-79.99737379999999,"612 Smithfield St, Pittsburgh",,,,,1.0,,https://carnegielibrary.org/
80,Carnegie Library of Pittsburgh - East Liberty,40.4608869,-79.9265435,"130 S Whitfield St, Pittsburgh",,,,,1.0,,https://www.carnegielibrary.org/clp_location/east-liberty/
81,Carnegie Library of Pittsburgh - Hazelwood,40.4083096,-79.9437464,"5006 Second Avenue, Pittsburgh",,,,,1.0,,https://carnegielibrary.org/
82,Carnegie Library of Pittsburgh - Hill District,40.4455017,-79.9765364,"2177 Centre Ave, Pittsburgh",,,,,1.0,,https://www.carnegielibrary.org/
83,Carnegie Library of Pittsburgh - Homewood,40.455284,-79.899213,"7101 Hamilton Ave, Pittsburgh",,,,,1.0,,https://carnegielibrary.org/
84,Carnegie Library of Pittsburgh - Knoxville,40.4132232,-79.9891718,"400 Brownsville Rd, Pittsburgh",,,,,1.0,,https://www.carnegielibrary.org/clp_location/knoxville/
85,Carnegie Library of Pittsburgh - Lawrenceville,40.4676128,-79.9590515,"279 Fisk St, Pittsburgh",,,,,1.0,,https://www.carnegielibrary.org/
86,Carnegie Library of Pittsburgh - Main (Oakland),40.4427033,-79.9507696,"4400 Forbes Ave Carnegie Lecture Hall, Pittsburgh",,,,,1.0,,https://carnegielibrary.org/
87,Carnegie Library of Pittsburgh - Mt. Washington,40.4335616,-80.0104346,"315 Grandview Ave, Pittsburgh",,,,,1.0,,https://www.carnegielibrary.org/
88,Carnegie Library of Pittsburgh - Sheraden,40.455194,-80.05652649999999,"720 Sherwood Ave, Pittsburgh",,,,,1.0,,https://www.carnegielibrary.org/
89,Carnegie Library of Pittsburgh - South Side,40.4286799,-79.97426949999999,"2205 E Carson St, Pittsburgh",,,,,1.0,,https://carnegielibrary.org/
90,Carnegie Library of Pittsburgh - Squirrel Hill,40.4381637,-79.9227914,"5801 Forbes Ave, Pittsburgh",,,,,1.0,,https://carnegielibrary.org/
91,Carnegie Library of Pittsburgh - West End,40.4400573,-80.0340451,"47 Wabash St, Pittsburgh",,,,,1.0,,https://carnegielibrary.org/
92,Carnegie Library of Pittsburgh - Woods Run,40.476254,-80.0302044,"1201 Woods Run Ave, Pittsburgh",,,,,1.0,,https://www.carnegielibrary.org/
93,Carnegie Library of Pittsburgh Brookline,40.3944049,-80.021441,"708 Brookline Blvd, Pittsburgh",,,,,1.0,,https://carnegielibrary.org/
94,Carnegie Mellon University - Sorrells Engineering and Science Library,40.442647,-79.945784,"4400 Wean Hall #4, Pittsburgh",,,,,1.0,,http://search.library.cmu.edu/
95,Castle Shannon Library,40.3677461,-80.0222785,"3677 Myrtle Ave, Pittsburgh",,,,,1.0,,https://castleshannonlibrary.org/
96,Catalyst RTW,40.4316696,-79.86560039999999,"1500 Ardmore Blvd, Pittsburgh",,,,,1.0,,http://www.catalystrtw.com/
97,Catholic Charities,40.4431552,-79.99822449999999,"212 9th St, Pittsburgh",,,,1.0,,,http://www.ccpgh.org/
98,Catholic Community Of Bloomfield Food Pantry - Food Distribution Center,40.4617406,-79.9498665,"4712 Liberty Ave, Pittsburgh",,1.0,,,,,
99,Center for Victims,40.421085,-79.958044,"3433 E Carson St, Pittsburgh",,,,1.0,,,http://www.centerforvictims.org/
100,Centex Brysco Food Services Co,40.4334689,-80.1314218,"809 Parkway View Dr, Pittsburgh",,1.0,,,,,
101,Chain of Hope Food Pantry - Food Distribution Center,40.4425237,-79.8861833,"611 South Ave, Pittsburgh",,1.0,,,,,
102,Chain of hope,40.442523,-79.88621300000001,"611 South Ave, Pittsburgh",,,,1.0,,,
103,Clayton's Fashion House,40.4427586,-79.88224989999999,"792 Penn Ave, Pittsburgh",1.0,,,,,,
104,Closet Rehab,40.4713622,-79.9594426,"4400 Butler St, Pittsburgh",1.0,,,,,,https://getclosetrehab.com/
105,Clothes Line,40.4603653,-79.94690059999999,"4804 Liberty Ave, Pittsburgh",1.0,,,,,,http://www.clotheslineresale.org/
106,Clothes Minded,40.4612565,-79.9486541,"4740 Liberty Ave, Pittsburgh",1.0,,,,,,http://www.clothesmindedpgh.com/
107,Cloverleaf Area Ecumenical Assistance Program - Food Distribution Center,40.3447609,-79.9709945,"1 Grove Pl, Pittsburgh",,1.0,,,,,
108,Community Alliance of Spring Garden East Deutschtown,40.4571275,-79.9915474,"800 Vinial St, Pittsburgh",,1.0,,,,,https://www.ca-sged.org/
109,Community Forge,40.4376775,-79.8744657,"1256 Franklin Ave, Pittsburgh",,,,,1.0,,http://www.forge.community/
