,name,latitude,longitude,vicinity,Clothing,Food,Household Goods,Housing,Training and other services,Notes,website
175,Genesis House,40.50021599999999,-80.051208,"185 Dakota Ave, Pittsburgh",,,,1.0,,,https://www.genesispgh.org/genesis-house
176,Ginger Snap Hair Studio,40.45412839999999,-79.9818402,"2343 Smallman St STE 6, Pittsburgh",,1.0,,,,,http://www.gingersnaphairstudio.com/
177,Goodwill,40.46212939999999,-79.8253835,"11660 Keleket Dr, Pittsburgh",1.0,,,,,,https://www.goodwillswpa.org/
178,Goodwill,40.4574277,-80.16545789999999,"3 Urbano Way, Pittsburgh",1.0,,,,,,https://www.goodwillswpa.org/
179,Goodwill,40.53707259999999,-80.01274819999999,"7221 McKnight Rd Suite 1, Pittsburgh",1.0,,,,,,https://www.goodwillswpa.org/
180,Goodwill,40.4600602,-79.9256994,"5993 Centre Ave, Pittsburgh",1.0,,,,,,https://www.goodwillswpa.org/
181,Goodwill,40.426694,-79.96691799999999,"2700 E Carson St, Pittsburgh",1.0,,,,,,https://www.goodwillswpa.org/
182,Goodwill,40.404258,-80.040356,"2866 Banksville Rd, Pittsburgh",1.0,,,,,,https://www.goodwillswpa.org/
183,Goodwill,40.5402738,-79.8018903,"1306 Pittsburgh St, Cheswick",1.0,,,,,,https://www.goodwillswpa.org/
184,Goodwill Adult Education Site,40.4512729,-79.9519272,"249 N Craig St, Pittsburgh",,,,,1.0,,https://www.goodwillswpa.org/ged
185,Goodwill Commercial Services,40.4435483,-79.9944514,"1000 Liberty Ave, Pittsburgh",,,,,1.0,,
186,Green Tree Public Library,40.4186033,-80.04682749999999,"10 W Manilla Ave, Pittsburgh",,,,,1.0,,http://www.greentreelibrary.org/
187,Grow Pittsburgh,40.4583377,-79.9114172,"6587 Hamilton Ave #2W, Pittsburgh",,1.0,,,,,http://www.growpittsburgh.org/
188,Grow Pittsburgh - Food Distribution Center,40.464994,-79.93520680000002,"5429 Penn Ave, Pittsburgh",,1.0,,,,,http://www.growpittsburgh.org/
189,Habitat for Humanity of Greater Pittsburgh ReStore,40.4214934,-79.8896191,"7402 Church St, Pittsburgh",1.0,,,,,,http://www.pittsburghhabitat.org/restore
190,Hamilton House,40.4556123,-79.9013023,"7045 Hamilton Ave, Pittsburgh",,,,,1.0,,
191,Hamilton-larimer Liberty Park Bjwl Children's Program - Food Distribution Center,40.4632924,-79.9209992,"326 Collins St, Pittsburgh",,1.0,,,,,
192,Hamnett Place Community Garden,40.43853,-79.8848513,"502 Jeanette St, Pittsburgh",,1.0,,,,,https://hamnettgarden.wordpress.com/
193,Harmar Street Community Garden,40.4572409,-79.96792339999999,"332 Harmar St, Pittsburgh",,1.0,,,,,https://www.growpittsburgh.org/directory/garden/harmar-street-community-garden
194,Hazelwood Glenwood Glen Hazel - Food Distribution Center,40.4036469,-79.9425685,"5344 Second Avenue, Pittsburgh",,1.0,,,,,
195,Hazelwood Healthy Active Living Community Center,40.4036469,-79.9425686,"5344 Second Avenue, Pittsburgh",,,,,1.0,,
196,Hearts of The Homeless,40.46186609999999,-79.9170974,"478 Enright Ct, Pittsburgh",,,,1.0,,,http://heartsofthehomeless.org/
197,Henry Kaufmann Center - Food Distribution Center,40.4191632,-79.9754482,"2201 Salisbury St, Pittsburgh",,1.0,,,,,
198,Henry Kaufmann Neighborhood House,40.4192698,-79.9753614,"2201 Salisbury St, Pittsburgh",,,,1.0,,,
199,Hey Betty,40.4579595,-79.92770349999999,"5890 Ellsworth Ave, Pittsburgh",1.0,,,,,,http://www.heybettyvintageclothing.com/
200,Highland Park,40.474507,-79.92094929999999,"5801 Hampton St, Pittsburgh",,,,,1.0,,https://hpccpgh.org/contact/
201,Highland Park Entry Garden,40.4793209,-79.9155971,"1467 N Highland Ave, Pittsburgh",,1.0,,,,,https://www.pittsburghparks.org/highland-park
202,Hill Community Development Corporation,40.444108,-79.979978,"2015 Centre Ave # 2, Pittsburgh",,,,,1.0,,https://www.hilldistrict.org/
203,Hillman Library at University of Pittsburgh,40.4426031,-79.9541564,"3960 Forbes Ave, Pittsburgh",,,,,1.0,,http://www.library.pitt.edu/
204,Hilltop Urban Farm,40.4093458,-79.97741529999999,"700 Cresswell St, Pittsburgh",,1.0,,,,,http://hilltopurbanfarm.org/
205,Holy Family Institute,40.4580513,-80.01634849999999,"1601 Brighton Rd, Pittsburgh",,,,1.0,,,http://www.hfi-pgh.org/
206,Homeless Children's Education Fund,40.44345,-79.980988,"One Hope Square, 1901 Centre Ave, Ste 301, Pittsburgh",,,,1.0,,,http://www.homelessfund.org/
207,Homeless Family Services,40.40065329999999,-79.8350497,"817 E Pittsburgh Mall, East Pittsburgh",,,,1.0,,,
208,Homewood/salvation Army - Food Distribution Center,40.4553726,-79.88358439999999,"8020 Frankstown Ave, Pittsburgh",,1.0,,,,,
209,"Hosanna House, Inc.",40.4436111,-79.8805556,"807 Wallace Ave, Pittsburgh",,,,,1.0,,http://www.hosannahouse.org/
210,Howard Anderson-Power Memorial,40.4368286,-79.96068799999999,"300 Halket St, Pittsburgh",,,,,1.0,,
211,Humane Animal Rescue Pittsburgh,40.4510525,-80.02001419999999,"1101 Western Ave, Pittsburgh",,,,1.0,,,http://www.humaneanimalrescue.org/
212,Humane Animal Rescue of Pittsburgh,40.4557913,-79.9040929,"6926 Hamilton Ave, Pittsburgh",,,,1.0,,,http://www.humaneanimalrescue.org/
213,Hunger Services Network - Food Distribution Center,40.4659896,-79.96459999999999,"204 37th St, Pittsburgh",,1.0,,,,,
214,Hunt Library,40.4411268,-79.9437538,"4909 Frew St, Pittsburgh",,,,,1.0,,https://library.cmu.edu/
215,Insight Global,40.439998,-80.00379500000001,"PPG Place, 1, #3030, Pittsburgh",,,,,1.0,,https://insightglobal.com/locations?utm_source=gmb&utm_medium=Yext
216,JEWISH COMMUNITY CENTER - ROBINSON BLDG,40.4367972,-79.9236779,"5738 Darlington Rd, Pittsburgh",,,,,1.0,,
217,JFCS Career Development Center,40.43631,-79.9239769,"5743 Bartlett St, Pittsburgh",,,,,1.0,,https://www.jfcspgh.org/services/career-development-center/
218,JFCS Pittsburgh,40.43612479999999,-79.9238642,"5743 Bartlett St, Pittsburgh",,1.0,,1.0,,,https://www.jfcspgh.org/
219,JFCS Squirrel Hill Food Pantry,40.41956769999999,-79.9279997,"828 Hazelwood Ave, Pittsburgh",,1.0,,,,,https://www.jfcspgh.org/services/squirrel-hill-food-pantry/
220,James Frazer Hillman Library,40.4548817,-79.9397796,"Upmc Shadyside-East Wing, 5230 Centre Ave, Pittsburgh",,,,,1.0,,
221,Jennie King Mellon Library,40.4485215,-79.9261641,"Chatham University, Woodland Rd, Pittsburgh",,,,,1.0,,https://library.chatham.edu/home
222,Jeremiah's Place,40.461502,-79.9151687,"6435 Frankstown Ave, Pittsburgh",,,,1.0,,,http://jeremiahsplace.org/
223,Jeron X. Grayson Community Center,40.4442894,-79.9833307,"1852 Enoch St, Pittsburgh",,,,,1.0,,https://centerthatcares.org/event-space/overview/
224,Jewish Community Center of Greater Pittsburgh,40.4374275,-79.92371370000001,"5738 Forbes Ave, Pittsburgh",,,,,1.0,,http://www.jccpgh.org/
225,Job Corps Placement & Admissions Center,40.4388646,-79.9995988,"355 Fourth Ave, Pittsburgh",,,,,1.0,,
226,Jubilee Association - Food Distribution Center,40.4384459,-79.9773254,"2005 Wyandotte St, Pittsburgh",,1.0,,1.0,,,
227,Jubilee Food Pantry,40.4567672,-79.96710379999999,"3103 Brereton St, Pittsburgh",,1.0,,,,,https://pittsburghfoodbank.org/agency/jubilee-association-inc-food-pantry/
228,Jubilee Kitchen,40.4384783,-79.9772969,"2005 Wyandotte St, Pittsburgh",,1.0,,,,,https://www.jubileesoupkitchen.com/
229,Just Harvest,40.4303471,-79.9972585,"317 E Carson St, Pittsburgh",,1.0,,,,,https://www.justharvest.org/
230,Just Life Inc,40.5184833,-80.0055859,"4725 McKnight Rd # 120, Pittsburgh",,,,,1.0,,http://www.justlife-inc.com/
231,K Maxin & Associates,40.4518432,-80.0067586,"10 Allegheny Ctr # 421, Pittsburgh",,,,,1.0,,
232,KORE Resource,40.4276484,-80.12387509999999,"1 Penn Center Blvd, Pittsburgh",,,,,1.0,,http://koreresource.com/
233,Keep it Simple Training & Development,40.4383265,-79.99907689999999,"301 Grant St Suite 270, Pittsburgh",,,,,1.0,,http://www.kiswfd.com/
234,Kenny's,40.4532491,-79.8944463,"7401 Tioga St, Pittsburgh",,1.0,,,,,http://www.kennyshomewood.com/
